"","mergedColors"
"IGHM","turquoise"
"IGKV1-17 ","turquoise"
"IGH ","turquoise"
"MMP1","turquoise"
"IGKV1OR2-108 ","turquoise"
"IGKV1-37 ","turquoise"
"HLA-DRB4","turquoise"
"IGJ","turquoise"
"IGKC","turquoise"
"IGLC1","turquoise"
"IGHG1 ","turquoise"
"SLAMF8","turquoise"
"abParts ","turquoise"
"IGKC ","turquoise"
"CYAT1 ","turquoise"
"IGLC1 ","turquoise"
"CXCL9","turquoise"
"AC128677.4 ","turquoise"
"FOSB","greenyellow"
"IGLV1-44","turquoise"
"XIST","greenyellow"
"FOS","greenyellow"
"APOD","pink"
"CXCL1","blue"
"CKAP2 ","turquoise"
"FABP4","pink"
"LRRC15","magenta"
"HBA1 ","turquoise"
"CCL18","turquoise"
"HBB","turquoise"
"C7","turquoise"
"MAFF","turquoise"
"TRBC1","turquoise"
"CXCL2","greenyellow"
"NCF1 ","turquoise"
"ZBTB16","pink"
"ERAP2","turquoise"
"MFAP5","turquoise"
"TNFAIP6","blue"
"CXCL8","greenyellow"
"IGHD","turquoise"
"IGLL5","turquoise"
"HLA-DQA1 ","turquoise"
"IGK ","turquoise"
"S100A9","blue"
"CXCL10","turquoise"
"GABBR1 ","turquoise"
"GUSBP11","turquoise"
"IGLL3P","turquoise"
"GPR64","turquoise"
"ATF3","greenyellow"
"SPP1","turquoise"
"LOC101928620 ","turquoise"
"MAB21L2","turquoise"
"MMP9","turquoise"
"CRLF1","turquoise"
"NFIL3","greenyellow"
"SEL1L3","turquoise"
"CCL13","turquoise"
"HLA-DQA1","pink"
"FCGR1B","turquoise"
"FCGR3A ","turquoise"
"RBP4","pink"
"SDC1","turquoise"
"CCL5","turquoise"
"CXCL14","grey"
"COL1A1","magenta"
"NDP","blue"
"IL7R","turquoise"
"CCL19","turquoise"
"CSN1S1","black"
"APOLD1","turquoise"
"ADAMDEC1","turquoise"
"LBP","grey"
"SFRP4","magenta"
"PTGIS","turquoise"
"CDO1","pink"
"ABCA8","pink"
"LYVE1","turquoise"
"IL32","turquoise"
"GBP1","turquoise"
"NOVA1","pink"
"MMP3","turquoise"
"DKK3","green"
"HBEGF","turquoise"
"CYR61","turquoise"
"MAOA","pink"
"NCF1","turquoise"
"PDK4","pink"
"ITGBL1","turquoise"
"KLF9","turquoise"
"PCOLCE2","turquoise"
"PPL","blue"
"AGTR1","pink"
"PLXNC1","pink"
"MIR612 ","black"
"FCGR1A ","turquoise"
"GCH1","turquoise"
"NAMPT","red"
"SLC19A2","turquoise"
"BCL2A1","blue"
"IL6","brown"
"CXCL13","turquoise"
"ADIPOQ","pink"
"CHI3L2","turquoise"
"IL2RG","turquoise"
"EGR1","greenyellow"
"PTGDS","green"
"COMP","turquoise"
"RPS4Y1","greenyellow"
"HAS1","greenyellow"
"OGN","magenta"
"BTN3A2","brown"
"CD52","turquoise"
"CHI3L1","grey"
"IGLJ3 ","turquoise"
"FLRT2 ","magenta"
"C6","pink"
"AIM2","turquoise"
"SERPINA1","blue"
"IGFBP6","turquoise"
"BLNK","turquoise"
"PTPRC","turquoise"
"NREP","magenta"
"NLGN4X","turquoise"
"RUFY2","black"
"RAC2","turquoise"
"IGLJ3","turquoise"
"GZMK","turquoise"
"CD48","turquoise"
